Label,Time,Data,Sentiment
56,6.30pm,“Older men declare war. But it is youth that must fight and die.”,0
57,7.46am,I need someone to make me feel okay,0
58,4.5pm,"Nobody Deserves Your Tears, But Whoever Deserves Them Will Not Make You Cry.",0
59,12.6pm,"Sometimes, crying is the only way your eyes speak when your mouth can’t explain how broken your heart is.",0
60,8.45am,The way to get started is to quit talking and begin doing.,1
61,10.45am,Life always offers you a second chance  It's called tomorrow.,1
62,6.9pm,She is so exhausted with them,0
63,3.40am,"If I delete your number, you’re basically deleted from my life.",0
64,12.15am,The purpose of life is to enjoy every moment.,1
65,5.45am,She felt suddenly overwhelmed by loneliness.,0
66,2.32am,One loses happiness when wishing for more happiness.,0
67,4.05am,"“Please, save me a seat right next to you, at the table !!”",0
68,11.34am,There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will,1
69,10.35pm,Success is stumbling from failure to failure with no loss of enthusiasm.,1
70,11.01am,Happiness is a perfume you cannot pour on others without getting a few drops on yourself.,1
71,03.12pm,he loves to play cricket,1
72,06.06pm,I'm a success today because I had a friend who believed in me and I didn't have the heart to let him down.,1
73,12.03am,Pleasure meeting you.,1
74,11.11pm,"Cry As Much As You Want To, But Just Make Sure When You’Re Finished, You Never Cry For The Same Reason Again.",0
75,12.06am,swarna is the prettiest girl in th class,1
76,07.00am,People are losing humanity day by day.,0
77,09.15pm,"No Matter How Far You Are, You Are Always In My Thoughts.",1
78,12.34am,She sings melodiously,1
79,06.09am,Life is too short to spend time with people who suck the happiness out of you.,1
80,05.30am,"Happiness cannot be traveled to, owned, earned, or worn  It is the spiritual experience of living every minute with love, grace & gratitude.",1
81,6.15pm,“Even death has a heart.”,0
82,2.00am,"Let your hopes, not your hurts, shape your future.",1
83,3.30pm,Hug harder. Laugh louder. Smile bigger. Love longer.,1
84,12.24pm,It seemed like you were happy.,1
85,1.15pm,"She is poor, but she is happy.",1
86,8.16am,The Root Of Disappointment Comes From Holding Expectation. ,0
87,9.45pm,Being happy doesn’t mean you’re perfect. It just means you’ve decided to look beyond the imperfections.,1
88,10.45am,"Eight Letters, Three Words, One Regret, I Miss You.I Stay Home Alone, Listen To Music & Think Too Much.",0
89,2.50pm,Everyone in my family is happy.,1
90,8.55pm,“Death takes no bribes.”,0
91,9.30am,A Breakup Is Like A Broken Mirror. Its Better To Leave It Than Hurt Yourself Trying To Pick Up The Pieces.,0
92,10.45pm,"It Hurts To Let Go, But Sometimes It Hurts More To Hold On.",0
93,11.30am,You gave me so much pain in my Life.,0
94,3.45pm,"“Death's got an Invisibility Cloak?"" Harry interrupted again.”",0
95,11.13pm,"Expand your happiness by sharing it with. The larger a rainbow, the more brightly it shines.",1
96,12.37am,"I Am Tired Of Fightin. For Once, I Want To Be Fought For.",0
97,12.12pm,"At the end of the day, what really matters is the moments you were happy, not the sad ones.",1
98,1.13pm,"If you were waiting for the opportune moment, that was it.",1
99,9.08pm,The sad truth is that opportunity doesn’t knock twice. ,0
100,1.21am,The most important decision you make is to be in a good mood.,1
101,12.30am,Thanks for always being there!,1
102,3.40pm,Happiness is the default state. It’s what’s there when you remove the sense that something is missing in life.,0
103,11.36am,You get in life what you have the courage to ask for.,1
104,7.45am,I'm invisible until someone needs me.,1
105,8.55pm,I Miss The The Time When I Actually Meant Something To You.,0
106,9.30am,He was hurt because of her words.,0
107,10.35pm,"“At the temple, there is a poem called ""Loss"" carved into the stone. It has three words, but the poet has scratched them out. You cannot read loss, only feel it.”",0
108,11.01am,Happiness does not lead to gratitude. Gratitude leads to happiness.,1
109,03.12pm,Every temporary happiness is much better than permanent misery.,1
110,06.06pm,It’S Sad When You Realize You Aren’T As Important To Someone As You Thought You Are.,0
111,12.03am,"I Will Always Care For You, Even If We’Re Not Together & Even If We’Re Far, Far Away From Each Other.",0
112,11.11pm,They are happy with the result.,1
113,12.06am,Iam a good Listener,1
114,07.00am,Never give in except to convictions of honor and good sense.,1
115,09.15pm,Someday you will look back and know exactly why it had to happen.,1
116,12.34am,You cannot protect yourself from sadness without protecting yourself from happiness.,0
117,06.09am,"A Relationship Is Only For Two, But Some Bitches Don’T Know How To Count.",0
118,05.30am,Temporary happiness isn’t worth long term pain,0
119,6.15pm,"Depression is about as close as you get to somewhere between dead and alive, and its the worst.",0
120,2.00am,"When the sun is shining I can do anything no mountain is too high, no trouble too difficult to overcome.",1
121,3.30pm,Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,0
122,12.24pm,The successful man is the one who finds out what is the matter with his business before his competitors do.,1
123,1.15pm,Everything in life is luck. ,1
124,8.16am,"“If I were to die tomorrow, and you could only tell me one sentence before I leave, what would it be?”",0
125,9.45pm,The ambiance is not much better.,0
126,10.45am,The best dreams happen when the eyes are open.,0
127,2.50pm,Life is either a daring adventure or nothing.,1
128,4.55pm,I’m wearing the smile you gave me.,1
129,5.30am,"Isn’T It Sad When You Get Hurt So Much, You Can Finally Say ” I’M Used To It “.",0
130,7.45am,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",0
131,8.55pm,You have to learn the rules of the game  And then you have to play better than anyone else.,1
132,9.30am,"“Death - the last sleep? No, it is the final awakening.”",1
133,10.45pm,I have many great responsibilities,1
134,11.30am,decent but dull .,0
135,3.45pm,"Everyone Want Happiness, No One Wants Pain, But You Can’T Make A Rainbow Without A Little Rain.",1
136,11.13pm,You never know how strong you are…until being strong is the only choice you have.,1
137,12.37am,The most important thing is to enjoy your life—to be happy—it’s all that matters.,1
138,12.12pm,Mahatma Gandhi is a great freedom figther,1
139,1.13pm,I don't depend on people anymore because I'm tired of being disappointed.,0
140,9.08pm,I’d be most happy to assist you,1
141,1.21am,Cherish the Good moments in Life,1
142,12.30am,Dreams are today’s answers to tomorrow’s questions.,1
143,3.40pm,My friend fell down and was injured badly.,0
144,11.36am,You Hurt Me But I Still Love You.,0
145,7;45am,I’m glad it makes you so happy.,1
146,8.9am,Always believe that something wonderful is about to happen.,1
147,04.40am,"Everything is Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.",0
148,5.10pm,Cowards die many times before their deaths; the valiant never taste of death but once. ,0
149,12.12am,I hate everyone in this world,0
150,11.40pm,"“The young may die, but the old must!”",0
151,9.11am,I attribute my success to this: I never gave or took any excuse.,1
152,10.12am,Every Birth Is Paid By Death & Every Happiness Is Paid By Unhappiness. ,0
153,11.55pm,People Change For Two Reason : They Have Learned A Lot Or They Have Been Hurt Too Many Times. ,1
154,7.06am,"With the last breath of my soul, i’ll be blessing you. ",0
155,9.47pm,There’S Nothing More Depressing Than Having It All & Still Feeling Sad.,0
156,11.22pm,I wish you all the happiness you deserve.,1
157,2.30am,“Someone's death does not erase their life. Remember and celebrate that life!”,0
158,3.7pm,You will never be happy if you continue to search for what happiness consists of.,1
159,11.12am,"Positive thinking evokes more energy, more initiative and more happiness.",1
160,4.23pm,"Life is short, and it is up to you to make it sweet.",1
161,12.56am,Sometimes it takes a good fall to really know where you stand.,1
162,6.30pm,everything is off .,0
163,7.46am,"All you need in this life is ignorance and confidence, then success is sure.",1
164,4.5pm,"For every minute you are angry, you lose sixty seconds of happiness.",1
165,12.6pm,“Death’s gang is bigger and tougher than anyone else’s. Always has been and always will be. Death's man.”,0
166,8.45am,"Thank you for the warm and lovely wishes,",1
167,10.45am,she looks beautiful,1
168,6.9pm,“I extend my deepest sympathies to you and your family. May the soul of your mother be at peace with our Heavenly Father.”,0
169,3.40am,"BEING IGNORED, worst feeling ever.",0
170,12.15am,"“Love is how you stay alive, even after you are gone.”",0
171,5.45am,Choose the work you love and you will never have to work every day.,1
172,2.32am,"“Madame, all stories, if continued far enough, end in death, and he is no true-story teller who would keep that from you.”",0
173,4.05am,Action is the foundational key to all success.,1
174,11.34am,Honestly it did not taste THAT fresh.,0
175,10.35pm,SMILE! every minute of the day. You never know who is falling in love with it.,1
176,11.01am,"People Cry, Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.",0
177,03.12pm,Show mercy to the right person,1
178,06.06pm,“I am deeply saddened by the news of your loss. I pray that God will grant you strength. My most sincere condolences.”,0
179,12.03am,"The saddest thing is when you are feeling real down, you look around and realize that there is no shoulder for you.",0
180,11.11pm,Sometimes It’s better to be alone…No one can hurt you.,1
181,12.06am,"Sometimes when I say “I am okay, I want some one to look me in the eyes,hug me tight and say, “I know you are not.”",0
182,07.00am,Deal with your problems before they deal with your happiness.,1
183,09.15pm,Sometimes its better to be alone nobody can hurt you.,0
184,12.34am,"“Judge if you want, we are all going to die.”",0
185,06.09am,"You can close your eyes to things you don’t want to see, but you can not close your heart to things you don’t want to feel.",0
186,05.30am,Tears are words the heart can not say.,0
187,6.15pm,Seize the moments of happiness.,1
188,2.00am,"“I could die for you. But I couldn't, and wouldn't, live for you.”",0
189,3.30pm,I’d be happy knowing you’re safe.,1
190,12.24pm,I Hope You will Realize How Much You are Hurting Me Some Day.,0
191,1.15pm,Sadness is the result of unhappy thoughts.,0
192,8.16am,Sometimes The Girl Who’S Always Been There For Everyone Else. Need Someone To Be There For Her.,1
193,9.45pm,"Time will pass, these moods will pass; and I will, eventually, be myself again.",1
194,10.45am,Let your life lightly dance on the edges of time like dew on the tip of a leaf.,1
195,2.50pm,"I Think I’M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens.",0
196,8.55pm,I just want to die young as late as possible.,0
197,9.30am,Beauty is not in the face; beauty is alight in the heart.,1
198,10.45pm,You like the person if you wish him happiness.,1
199,11.30am,I’m always gonna be smiling. I’m always gonna be in a good mood.,0
200,3.45pm,I’m slowly giving up.,0
201,11.13pm,It really is impressive that the place hasn't closed down.,1
202,12.37am,No one will ever understand how much it hurts,0
203,12.12pm,"Never Expect Things To Be Happen, Because It Better To Feel Surprised Than To Feel Disappointed.",1
204,1.13pm,"Life’s short, forget your problems, be happy, and live your life because you never know if there will be another tomorrow.",1
205,9.08pm,The Pain Is Not On The Day Of Missing Our Dear Ones. The Pain Is Really When You Love Without Them & With Their Presence In Your Mind. ,0
206,1.21am,God answers when you least expect it.,1
207,12.30am,It was a moment of supreme happiness.,1
208,3.40pm,Love is the master key that opens the gates of happiness.,1
209,11.36am,"When sorrows come, they come not single spies, but in battalions. ",0
210,7.45am,Iam so exhausted with his behaviour.,0
211,8.55pm,"“Death ends a life, not a relationship.”",1
212,9.10pm,Sometimes the things that you are most afraid of are the things that make you the happiest.,1
213,12.17am,Ramya was stubborn to get medicine seat,1
214,9.30am,A fake smile can hide a million tears. ,1
215,10.45pm,"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.",1
216,11.30am,"If we all had perfect lives, we would never know what happiness was because we would never be sad or mad enough to know the difference.",0
217,3.45pm,Isn’t it sad that you are hurt so much that finally you can say “I’m used to it”,0
218,11.13pm,I have a thousand reasons to die and many millions of tears to cry.,0
219,11.36am,Latha loves Lofi music,1
220,7.45am,Sometimes All You Need Is One Person Who Cares.,1
221,8.55pm,I’d be happy if I was in soccer team.,1
222,09.15pm,"Love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is done well.",1
223,12.34am,Don’t let the sadness of your past and the fear of your future win the happiness of your present.,1
224,06.09am,They lived a happy life there.,1
225,05.30am,"“Dear Lover… you are the only man, who never hurt me, but broke my heart.” ",0
226,6.15pm,"The secret to change is to focus all of your energy, not on fighting the old, but on building the new.",1
227,12.37am,I did everything right for someone that does everything wrong.,0
228,12.12pm,"I’m making changes in my life so if you don’t hear from me, you’re one of them.",0
229,1.13pm,Sometimes you hurt the ones who love you most. Sometimes You hold the one’s who leave you lost and sometimes you learn but it’s too late.,0
230,9.08pm,"Before you give up, think of the reason why you held on so long.",1
231,10.35pm,Smallest lie can break the biggest trust,1
232,11.01am,We all feel lost sometimes,0
233,03.12pm,No one is going to hand me success  I must go out & get it myself  That’s why I’m here,1
234,12.03am,I’ll be more than happy to help.,1
235,11.11pm,I faced lot of problems.,0
236,12.06am,“Today my best friend was taken from me. I am not the guy to F..bad.. with today R. I. P.”,0
237,07.00am,“Life a lot hurts more than death.”,0
238,06.09am,Crying Is The Only Way Your Eyes Speak When Your Mouth Can’T Explain How Things Made Your Heart Break.,0
239,05.30am,She is so cunning,0
240,6.15pm,“No one really knows why they are alive until they know what they'd die for.”,0
241,2.00am,"If you want to live a happy life, tie it to a goal, not to people or things.",1
242,3.30pm,"Smile and let everyone know that today, you’re a lot stronger than you were yesterday.",1
243,12.24pm,Happiness grows when shared.,1
244,1.15pm,"People cry, not because they are weak. It’s because they have been strong for too long.",1
245,9.45pm,"Be believing, be happy, don’t get discouraged. Things will work out.",1
246,10.45am,The only way to find true happiness is to risk being completely cut open.,1
247,2.50pm,Life’s purpose is to be happy.,1
248,4.55pm,Happiness is a choice and a skill and you can dedicate yourself to learning that skill and making that choice.,1
249,5.30am,The happiest is the one who brings happiness to the greatest number of people.,1
250,7.45am,You couldn’t erase the past. You couldn’t even change it. But sometimes life offered you the opportunity to put it right.,1
251,8.55pm,I Know They Say That First Love Is The Sweetest But That First Cut Is The Deepest.,0
252,9.30am,Happiness is not something ready made. It comes from your own actions.,1
253,10.45pm,Have no fear of perfection you'll never reach it.,1
254,11.30am,“Life is for the living. Death is for the dead. Let life be like music. And death a note unsaid.”,1
255,3.45pm,Expression Of Eyes ? Can Be Read ? By Everyone…But Depression Of Heart Can Be Read ? Only By Best One…Care For Everyone But Don’T Lose The Best One.,1
256,11.13pm,True Love Isn’T Found. It’S Built.,1
257,12.37am,The best revenge is massive success.,1
258,12.12pm,There Are So Many Things That Make You Happy. Don’T Focus Too Much On Things That Make You Sad.,1
259,1.13pm,I’m happy you’re among us.,1
260,9.08pm,Music always puts me in a better mood.,1
261,1.21am,Love yourself first and everything else falls into line  You really have to love yourself to get anything done in this world.,1
262,12.30am,Find Someone Who Knows That You’Re Not Perfect But Treats You As If You Are.,1
263,3.40pm,The Saddest People I’Ve Ever Met In Life Are The Ones Who Don’T Care Deeply About Anything At All.,0
264,11.36am,"The Loneliest Moment In Someone’S Life Is When They Are Watching Their Whole World Fall Apart, And All They Do Is Stare Blankly. ",0
265,7;45am,The live music on Fridays totally blows.,1
266,8.9am,“Is remembering someone special...Heaven gained an angel.”,1
267,04.40am,"“When people don't express themselves, they die one piece at a time.”",0
268,5.10pm,He died due to the black fungus and the family went into depression,0
269,12.12am,The hunter shot the deer very badly.,0
270,11.40pm,"At times, I feel overwhelmed and my depression leads me into darkness. ",0
271,9.11am,“Dying was just an extended version of Ash Wednesday.”,0
272,10.12am,Thanks for your support and understanding.,1
273,11.55pm,Love is divine,1
274,7.06am,Try not to become a man of success  Rather become a man of value.,1
275,9.47pm,Things can change.,1
276,11.22pm,"All have a basic right to pursue happiness, just grab it as it waits in your path. Or create the happiness you desire.",1
277,2.30am,Hope is being able to see that there is light despite all of the darkness.,1
278,3.7pm,"“I not afraid of dying, I’m afraid of suffering” ",0
279,11.12am,Love Sometimes Comes Like A Dream And Leaves Likes A Nightmare. ,0
280,4.23pm,"I’m gonna rest of my life, the best of my life. ",1
281,12.56am,Happy he who has ears to hear.,1
282,6.30pm,I Wish My Brain Had A Map To Tell Me Where My Heart Should Go.,0
283,7.46am,"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.",1
284,4.5pm,I Am Fighting Alone & Being Depressed Is An Everyday Fight. I Am Tired Of Being Sad Now. Trust….Nothing Feels Right.,0
285,12.6pm,Tom was alone on the park bench.,0
286,8.45am,I don’t understand the love at all. I guess it’s beauty is only at the beginning.,0
287,10.45am,Waiting is painful,0
288,6.9pm,Those who are heartless once cared too much.,0
289,3.40am,"Sometimes we have to do more than turn the page, we have to close the book.",1
290,12.15am,"“Death is so terribly final, while life is full of possibilities.”",0
291,5.45am,"Its hard to hold tears in eyes with fake smile, still I am doing it because I don’t want people to know that you are the reason behind my tears.",0
292,2.32am,The pain is there to remind me that I'm still alive.,0
293,4.05am,I’M Sorry. I Tried Being Prefect. But Its Just Not Me.I Have Been Sad For Years. Don’T Tell Me It Gets Better.,0
294,11.34am,Borrow money from a pessimist- – he doesn’t expect it back.,1
295,10.35pm,Donot believe Rumours,1
296,11.01am,Your happiness is important to us.,1
297,03.12pm,"Don't give up now, chances are your best kiss your hardest laugh and your greatest day are still yet to come.",1
298,06.06pm,A sad soul can kill quicker than a germ. ,0
299,12.03am,You can’t please everybody.,0
300,11.11pm,A good laugh and a long sleep are the best cures for anything.,1
301,12.06am,As long as you are looking back on the past you will never see what’s ahead in.,1
302,07.00am,My silence is just another word for pain.,0
303,09.15pm,“No one can escape from death. Death will reach you one day.”,0
304,12.34am,"To enjoy the rainbows, you gotta go through some rain.",1
305,06.09am,"“If there are no dogs in Heaven, then when I die I want to go where they went.”",0
306,05.30am,"If you really love a person, a little smile can make you happy!",1
307,6.15pm,Happiness depends not on material things but on our view on things.,1
308,2.00am,Be happy for this moment. This moment is life.,1
309,3.30pm,The saddest thing in the world is loving someone who used to love you.,0
310,12.24pm,The secret of happiness is doing what you love. The secret of success is loving what you do.,1
311,1.15pm,"If the only tool you have is a hammer, you tend to see every problem as a nail.",1
312,8.16am,"Success is not how high you have climbed, but how you make a positive difference to the world.",1
313,9.45pm,"I Was Playing Back A Thousand Memories Baby, Thinking About Everything We’Ve Been Through.",0
314,10.45am,I don’t have an Attitude problem I just have a personality you can’t handle.,1
315,2.50pm,Never place the key of your happiness into a pocket of another.,1
316,8.55pm,Audience appalused the Hero's performance,1
317,9.30am,I’ve got nothing to do today but smile.,1
318,10.45pm,did not like at all.,0
319,11.30am,I am thankful for all of those who said no to me  It’s because of them I’m doing it myself.,1
320,3.45pm,You always get hurt the moment you begin to care.,0
321,11.13pm,Mine Sam and Tara hook up to escape their loneliness.,0
322,12.37am,Don’t let what you cannot do interfere with what you can do.,1
323,12.12pm,I destroy my enemies when I make them my friends.,1
324,1.13pm,Doing what you like is freedom. Liking what you do is happiness.,1
325,9.08pm,"Absence from whom we love is worse than death, and frustrates hope severer than despair. ",0
326,1.21am,They were so sad after listening the news,0
327,12.30am,Victory is sweetest when you’ve known defeat.,1
328,3.40pm,"Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.",0
329,11.36am,A smile is the happiness you’ll find right under your nose.,1
330,7.45am,Health is essential to happiness.,1
331,8.55pm,You Hurt Me But I Still Love You,0
332,10.35pm,"I Will Always Care For You, Even If We’Re Not Together And Even If We’Re Far, Far Away From Each Other. ",0
333,11.01am,You want to keep the soldier in a good mood,1
334,03.12pm,Folks are usually about as happy as they make their minds up to be.,1
335,06.06pm,"Have You Ever Noticed That The More Special You Treat Someone, The More That Someone Takes You For Granted ? As If You Won’T Ever Change.",0
336,12.03am,Life is divided into the horrible and the miserable. ,0
337,11.11pm,The glow of one warm thought is to me worth more than money.,1
338,12.06am,I was abandoned by my in-laws for not giving dowry.,0
339,07.00am,Strong people know how to keep their life in order.,1
340,09.15pm,"Nobody ever wrote down a plan to be broke, fat, lazy, or stupid  Those things are what happen when you don’t have a plan.",1
341,12.34am,The price of anything is the amount of life you exchange for it.,1
342,06.09am,"“I am afraid. Not of life, or death, or nothingness, but of wasting it as if I had never been.”",0
343,6.15pm,People Cry Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.,0
344,2.00am,“Better to flee from death than feel its grip.”,0
345,3.30pm,I Did The Searching And Remembering. He/She Did The Disappearing And The Forgetting.,0
346,12.24pm,Sita`s ambition is to become an engineer,1
347,1.15pm,"Anger, tears and sadness are only for those who have given up. ",0
348,8.16am,"In a gentle way, you can shake the world.",1
349,9.45pm,Rude people donot have any mercy towads poor.,0
350,10.45am,"If you try and lose then it isn't your fault  But if you don't try and we lose, then it's all your fault.",1
351,2.50pm,And Sometimes You Just Have To Forget About That Person You Once Loved & Move On.,0
352,4.55pm,I don’t depend on people anymore because I’m tired of being disappointed.,0
353,5.30am,"“To the well-organized mind, death is but the next great adventure.”",0
354,7.45am,"Welcome every morning with a smile  Look on the new day as another special gift from your Creator, another golden opportunity.",1
355,8.55pm,"The key to achieving inner happiness is to strive to make someone else happy, instead of trying to make yourself happy all the time.",1
356,9.30am,“The only people who fear death are those with regrets.”,0
357,10.45pm,“Don’t spread lies nor propaganda against the person who is no longer in this world but is dead.”,0
358,11.30am,I have cried because of one reason that is you.,0
359,11.13pm,Happiness is not ready made it comes by our own actions.,1
360,12.37am,I still hope it's you and me in the end.,1
361,12.12pm,Count blessings. Not problems.,1
362,1.13pm,Worst Kind Of Pain Is When You’Re Smiling Just To Stop The Tears From Falling.,0
363,9.08pm,The best is yet to come.,1
364,1.21am,my sister is a good singer,1
365,12.30am,Respect is one of life’s greatest treasures…,1
366,3.40pm,Happy people don’t necessarily have the best of everything; they must make the best out of everything they have.,1
367,11.36am,A No  2 pencil and a dream can take you anywhere.,1
368,7;45am,You get depressed because you know that you are not what you should be.,0
369,8.9am,"All you need is the plan, the road map, and the courage to press on to your destination.",1
370,04.40am,“I go to seek a great perhaps.”,0
371,5.10pm,I Really Need To Stop Being So Emotional About Everything.,0
372,12.12am,"If there is the heart, there’s always sadness",0
373,11.40pm,"“Death, thou art infinite, it is life is little.”",0
374,9.11am,"Pray, then let it go  Don't try and manipulate or force the outcome  Just trust God to open the right doors at the right time",1
375,10.12am,I’m so happy to see you!,1
376,11.55pm,We brokeup yesterday,0
377,7.06am,"Success is getting what you want, happiness is wanting what you get.",1
378,9.47pm,"“It is not death that a man should fear, but he should fear never beginning to live.”",0
379,11.22pm,Have only positive expectations = Hope,1
380,2.30am,If you’re talking abt me behind mah back….. go ahead this is the best angle to kiss mah ass!,1
381,3.7pm,The Word Happiness Would Lose Its Meaning If It Were Not Balanced By Sadness.,0
382,11.12am,"It is not how much we have, but how much we enjoy, that makes happiness.",1
383,4.23pm,The service was poor and thats being nice.,0
384,12.56am,Success does not consist in never making mistakes but in never making the same one a second time.,1
385,6.30pm,“There is no death. Only a change of worlds.”,0
386,7.46am,"I am feeling so lonely and depressed, and even more i can’t explain my feelings.",0
387,4.5pm,"It is better to be alone, than being with someone who make you feel alone.",0
388,12.6pm,"Dear maths please grow up and solve your own problems, I’m tired of solving them for you.",1
389,8.45am,"I’M Not Upset That You Lied To Me, I’M Upset That From Now On I Can’T Believe You.",0
390,10.45am,You Touched My Heart With A Thousand Pleasures And Broke It In To Million Pieces.,0
391,6.9pm,Success is a journey from good to better to best,1
392,3.40am,"Life’s short, forget your problems, be happy, and live your life because you never know if there will be another tomorrow.",1
393,12.15am,"When i die, don’t come near my body. because my hand may not be able to wipe your tears anymore. ",0
394,5.45am,"Success is not the key to happiness  Happiness is the key to success  If you love what you are doing, you will be successful.",1
395,2.32am,Happiness is not ruined in moments of great catastrophes but a repetition of minute habits.,1
396,4.05am,"Accept responsibility for your life  Know that it is you who will get you where you want to go, no one else.",1
397,11.34am,“Is the daughter of the brightest star in the sky...love you mom”,0
398,10.35pm,"A best friend is like a four-leaf clover, hard to find, lucky to have.",1
399,11.01am,"Cry as hard as you want to but just make sure that when you stop crying, you never cry for the same reason again.",0
400,03.12pm,You're mine and i'm yours,1
401,06.06pm,Happiness depends not on material things but on our view on the things.,1
402,12.03am,Yeah. She’S Smiling But Don’T Let That Fool You. Look Into Her Eyes. She’S Breaking Inside.,0
403,11.11pm,“Death will be a great relief No more interviews.”,0
404,12.06am,Life isn’t always sunshine and butterflies. Sometimes you got to learn to smile through the pain.,0
405,07.00am,Love is the person you think about during the sad songs.,0
406,09.15pm,"Kites rise highest against the wind, not with it.",1
407,12.34am,Love is the master key that opens the gates of happiness,1
408,06.09am,"“Cherish the life you have, because you never know when it is  going to end.”",1
409,05.30am,Emotional pain will always hurt more than physical pain.,0
410,6.15pm,donot trust anyone,0
411,2.00am,Love Yourself,1
412,3.30pm,You know what’s beautiful? Read the first word again.,1
413,12.24pm,I Do not Know Why They Call It Heartbreak. It Feels Like Every Part Of My Body Is Broken Too.,0
414,1.15pm,Use Your Smile To Change The World.,1
415,8.16am,Be happy with what you have. Be excited about what you want.,1
416,9.45pm,He is so lonely in that pasture all by his self.,0
417,10.45am,Happiness does not consist in pastimes and amusements but in virtuous activities.,1
418,2.50pm,this world is a worst place,0
419,8.55pm,"Heavy Hearts, Like Heavy Clouds In The Sky, Are Best Relieved By The Letting Of A Little Water. ",0
420,9.30am,"Be happy not because everything is good, but because you can see the good in everything.",1
